user_id,sex,age,allergy,recipe_id,rating
1,남자,35,복숭아,30207,3
1,남자,35,복숭아,11412,4
1,남자,35,복숭아,8681,1
1,남자,35,복숭아,18344,2
1,남자,35,복숭아,11112,1
1,남자,35,복숭아,1803,4
1,남자,35,복숭아,8121,1
1,남자,35,복숭아,21919,2
1,남자,35,복숭아,30307,4
1,남자,35,복숭아,31066,1
1,남자,35,복숭아,16372,4
1,남자,35,복숭아,2050,1
1,남자,35,복숭아,38192,4
1,남자,35,복숭아,20933,5
1,남자,35,복숭아,29856,3
1,남자,35,복숭아,7159,1
1,남자,35,복숭아,7401,3
1,남자,35,복숭아,42643,3
1,남자,35,복숭아,4500,1
1,남자,35,복숭아,12184,4
1,남자,35,복숭아,12875,1
1,남자,35,복숭아,32712,4
1,남자,35,복숭아,42406,4
1,남자,35,복숭아,2558,1
1,남자,35,복숭아,16483,1
1,남자,35,복숭아,2962,2
1,남자,35,복숭아,11970,3
1,남자,35,복숭아,28644,1
1,남자,35,복숭아,38468,1
1,남자,35,복숭아,25877,4
1,남자,35,복숭아,22400,3
1,남자,35,복숭아,20881,1
1,남자,35,복숭아,4556,3
1,남자,35,복숭아,40819,5
1,남자,35,복숭아,8755,3
1,남자,35,복숭아,30747,2
1,남자,35,복숭아,32353,4
1,남자,35,복숭아,39791,1
1,남자,35,복숭아,29125,4
1,남자,35,복숭아,40765,3
1,남자,35,복숭아,37411,1
1,남자,35,복숭아,40448,1
1,남자,35,복숭아,18590,5
1,남자,35,복숭아,17454,5
1,남자,35,복숭아,43526,3
1,남자,35,복숭아,32636,1
1,남자,35,복숭아,33829,5
1,남자,35,복숭아,31217,5
1,남자,35,복숭아,700,1
1,남자,35,복숭아,191,5
1,남자,35,복숭아,35744,1
1,남자,35,복숭아,19779,2
1,남자,35,복숭아,34585,2
1,남자,35,복숭아,23094,2
1,남자,35,복숭아,38211,2
1,남자,35,복숭아,7456,2
1,남자,35,복숭아,16539,2
1,남자,35,복숭아,34178,2
1,남자,35,복숭아,785,1
1,남자,35,복숭아,40329,3
1,남자,35,복숭아,12534,5
1,남자,35,복숭아,5802,2
1,남자,35,복숭아,38755,2
1,남자,35,복숭아,29593,5
1,남자,35,복숭아,23356,2
1,남자,35,복숭아,24377,4
1,남자,35,복숭아,4781,4
1,남자,35,복숭아,2369,4
1,남자,35,복숭아,22387,4
1,남자,35,복숭아,32098,2
1,남자,35,복숭아,10967,3
1,남자,35,복숭아,28313,2
1,남자,35,복숭아,22678,2
1,남자,35,복숭아,31290,1
1,남자,35,복숭아,42676,2
1,남자,35,복숭아,29750,3
1,남자,35,복숭아,2492,5
1,남자,35,복숭아,14600,5
1,남자,35,복숭아,3052,4
1,남자,35,복숭아,21607,4
1,남자,35,복숭아,877,4
1,남자,35,복숭아,32094,3
1,남자,35,복숭아,39735,4
1,남자,35,복숭아,39568,5
1,남자,35,복숭아,37234,4
1,남자,35,복숭아,18078,3
1,남자,35,복숭아,21137,3
1,남자,35,복숭아,28252,2
1,남자,35,복숭아,25946,5
1,남자,35,복숭아,32218,5
1,남자,35,복숭아,5950,1
1,남자,35,복숭아,34700,5
1,남자,35,복숭아,1082,2
1,남자,35,복숭아,16897,2
1,남자,35,복숭아,7806,1
1,남자,35,복숭아,45544,5
1,남자,35,복숭아,3344,5
1,남자,35,복숭아,29376,5
1,남자,35,복숭아,8131,4
1,남자,35,복숭아,1680,3
1,남자,35,복숭아,13285,1
1,남자,35,복숭아,27933,4
1,남자,35,복숭아,44079,1
1,남자,35,복숭아,30446,4
1,남자,35,복숭아,29900,2
1,남자,35,복숭아,35248,5
1,남자,35,복숭아,29223,4
1,남자,35,복숭아,37221,2
1,남자,35,복숭아,23050,5
1,남자,35,복숭아,31844,2
1,남자,35,복숭아,40159,2
1,남자,35,복숭아,23290,3
1,남자,35,복숭아,35258,1
1,남자,35,복숭아,41976,5
1,남자,35,복숭아,16365,4
1,남자,35,복숭아,27664,2
1,남자,35,복숭아,29169,4
1,남자,35,복숭아,25472,3
1,남자,35,복숭아,852,4
1,남자,35,복숭아,6834,3
1,남자,35,복숭아,35196,1
1,남자,35,복숭아,4001,5
1,남자,35,복숭아,35507,3
1,남자,35,복숭아,38156,3
1,남자,35,복숭아,32321,1
1,남자,35,복숭아,3914,3
1,남자,35,복숭아,24108,5
1,남자,35,복숭아,43405,4
1,남자,35,복숭아,38495,2
1,남자,35,복숭아,31997,3
1,남자,35,복숭아,34851,1
1,남자,35,복숭아,28762,5
1,남자,35,복숭아,15306,2
1,남자,35,복숭아,11262,2
1,남자,35,복숭아,41577,4
1,남자,35,복숭아,17210,5
1,남자,35,복숭아,38514,5
1,남자,35,복숭아,11339,5
1,남자,35,복숭아,7544,4
1,남자,35,복숭아,33497,5
1,남자,35,복숭아,23549,1
1,남자,35,복숭아,44426,5
1,남자,35,복숭아,18889,3
1,남자,35,복숭아,17507,4
1,남자,35,복숭아,37842,1
1,남자,35,복숭아,34912,5
1,남자,35,복숭아,44812,1
1,남자,35,복숭아,20151,5
1,남자,35,복숭아,43287,1
1,남자,35,복숭아,2915,1
1,남자,35,복숭아,44913,4
1,남자,35,복숭아,729,5
1,남자,35,복숭아,699,3
1,남자,35,복숭아,13924,4
1,남자,35,복숭아,24467,4
1,남자,35,복숭아,4361,4
1,남자,35,복숭아,17102,4
1,남자,35,복숭아,5487,5
1,남자,35,복숭아,37260,1
1,남자,35,복숭아,31668,3
1,남자,35,복숭아,21973,4
1,남자,35,복숭아,1168,1
1,남자,35,복숭아,1063,5
1,남자,35,복숭아,24245,2
1,남자,35,복숭아,21690,2
1,남자,35,복숭아,9349,3
1,남자,35,복숭아,38103,5
1,남자,35,복숭아,37099,3
1,남자,35,복숭아,6802,4
1,남자,35,복숭아,23626,2
1,남자,35,복숭아,35308,1
1,남자,35,복숭아,11517,5
1,남자,35,복숭아,39082,1
1,남자,35,복숭아,27570,3
1,남자,35,복숭아,19066,2
1,남자,35,복숭아,17925,5
1,남자,35,복숭아,26963,5
1,남자,35,복숭아,26433,4
1,남자,35,복숭아,26257,1
1,남자,35,복숭아,1325,4
1,남자,35,복숭아,35910,4
1,남자,35,복숭아,19871,3
1,남자,35,복숭아,6589,4
1,남자,35,복숭아,38070,3
1,남자,35,복숭아,25290,2
1,남자,35,복숭아,28179,3
1,남자,35,복숭아,20653,5
1,남자,35,복숭아,21234,4
1,남자,35,복숭아,3710,2
1,남자,35,복숭아,30356,4
1,남자,35,복숭아,13117,1
1,남자,35,복숭아,42919,1
1,남자,35,복숭아,39299,5
1,남자,35,복숭아,14684,1
1,남자,35,복숭아,33983,4
1,남자,35,복숭아,28017,1
1,남자,35,복숭아,33592,1
1,남자,35,복숭아,37798,5
1,남자,35,복숭아,2106,4
1,남자,35,복숭아,45741,5
1,남자,35,복숭아,34621,5
1,남자,35,복숭아,20560,5
1,남자,35,복숭아,11004,5
1,남자,35,복숭아,25827,3
1,남자,35,복숭아,13844,1
1,남자,35,복숭아,6191,1
1,남자,35,복숭아,38414,1
1,남자,35,복숭아,42357,3
1,남자,35,복숭아,19088,1
1,남자,35,복숭아,7115,4
1,남자,35,복숭아,34122,4
1,남자,35,복숭아,23960,4
1,남자,35,복숭아,29704,2
1,남자,35,복숭아,36488,2
1,남자,35,복숭아,40252,2
1,남자,35,복숭아,33308,4
1,남자,35,복숭아,37733,1
1,남자,35,복숭아,4836,3
1,남자,35,복숭아,40081,1
1,남자,35,복숭아,13217,5
1,남자,35,복숭아,35548,5
1,남자,35,복숭아,27533,3
1,남자,35,복숭아,45446,2
1,남자,35,복숭아,4805,1
1,남자,35,복숭아,10,2
1,남자,35,복숭아,29549,5
1,남자,35,복숭아,1016,1
1,남자,35,복숭아,27713,2
1,남자,35,복숭아,8416,1
1,남자,35,복숭아,23834,1
1,남자,35,복숭아,20310,3
1,남자,35,복숭아,6939,1
1,남자,35,복숭아,20385,2
1,남자,35,복숭아,10345,3
1,남자,35,복숭아,8703,1
1,남자,35,복숭아,405,4
1,남자,35,복숭아,18385,5
1,남자,35,복숭아,32607,5
1,남자,35,복숭아,38758,3
1,남자,35,복숭아,23575,5
1,남자,35,복숭아,3637,5
1,남자,35,복숭아,4810,2
1,남자,35,복숭아,13457,5
1,남자,35,복숭아,38766,1
1,남자,35,복숭아,45107,5
1,남자,35,복숭아,17101,4
1,남자,35,복숭아,21950,1
1,남자,35,복숭아,37745,2
1,남자,35,복숭아,36188,2
1,남자,35,복숭아,43126,3
1,남자,35,복숭아,28539,2
1,남자,35,복숭아,37132,1
1,남자,35,복숭아,8428,5
1,남자,35,복숭아,24286,3
1,남자,35,복숭아,42809,1
1,남자,35,복숭아,19199,5
1,남자,35,복숭아,39765,2
1,남자,35,복숭아,26699,3
1,남자,35,복숭아,15782,4
1,남자,35,복숭아,39650,2
1,남자,35,복숭아,8018,3
1,남자,35,복숭아,10210,4
1,남자,35,복숭아,28921,1
1,남자,35,복숭아,31704,4
1,남자,35,복숭아,4638,2
1,남자,35,복숭아,43089,5
1,남자,35,복숭아,37661,4
1,남자,35,복숭아,19857,2
